playerid,PlayerName,position,Team,PA_atc,H_mean,H_p05,H_p50,H_p95,H_mean_t,H_p05_t,H_p50_t,H_p95_t,R_mean,R_p05,R_p50,R_p95,R_mean_t,R_p05_t,R_p50_t,R_p95_t,RBI_mean,RBI_p05,RBI_p50,RBI_p95,RBI_mean_t,RBI_p05_t,RBI_p50_t,RBI_p95_t,HR_mean,HR_p05,HR_p50,HR_p95,HR_mean_t,HR_p05_t,HR_p50_t,HR_p95_t,SB_mean,SB_p05,SB_p50,SB_p95,SB_mean_t,SB_p05_t,SB_p50_t,SB_p95_t,AVG_mean,AVG_p05,AVG_p50,AVG_p95,OBP_mean,OBP_p05,OBP_p50,OBP_p95,SLG_mean,SLG_p05,SLG_p50,SLG_p95
29571,Tim Tawa,2B/OF,ARI,168,0.19719661007438297,0.1376985936377556,0.19590249100283208,0.262192103512155,33.10866666666667,23,33,44,0.11419787541040274,0.0690289537101931,0.1131752125868778,0.16370780775791838,19.17333333333333,12,19,28,0.09340279160892533,0.05295788645706258,0.09173394894438654,0.13885041950111648,15.685833333333331,9,15,24,0.024500446397039306,0.005835308601137701,0.0232934761256087,0.04998747233023521,4.115500000000002,1,4,8,0.030264757946501363,0.005983629394816853,0.02855798165863415,0.061710084752754614,5.082000000000001,1,5,10,0.21560012630607508,0.1850754797836285,0.21530667838575374,0.24734906543524035,0.28832240931407727,0.255323486088859,0.2876683083089273,0.322709234039568,0.34929620663170596,0.29210352530825034,0.34724241636457054,0.41191902282837345
29575,Trey Sweeney,SS,DET,21,0.18707022696684572,0.04715571366138713,0.183431903415929,0.35995852719402865,3.9274999999999998,1,4,8,0.10040852008702503,0,0.09465215103478702,0.23377461354970772,2.107499999999999,0,2,5,0.092683716331201,0,0.09283403517639285,0.22018447616313772,1.9446666666666665,0,2,5,0.022975363640288383,0,0,0.09565840156097528,0.48216666666666635,0,0,2,0.012336843352630316,0,0,0.050769792799877436,0.2589999999999998,0,0,1,0.19970268157906948,0.1735303480813748,0.1990701369059185,0.22783869766155454,0.26515623249956544,0.235952628791554,0.2648057656141857,0.2953106975424644,0.3225764531769139,0.2739895082739852,0.3209269642660495,0.3746986584279503
29576,Ben Rice,1B/DH,NYY,546,0.23193765797735616,0.18846620833424751,0.231246797132656,0.27515784133735943,126.59450000000001,102,126,153,0.13828929226729117,0.1059953368771731,0.13739224710287834,0.1746051563093264,75.49233333333332,57,75,96,0.16616788694940843,0.12597911767548636,0.16464999922453255,0.21259013820254719,90.71216666666665,68,90,117,0.06865313823593232,0.04120466641873402,0.06723828204297784,0.10201963754808925,37.477000000000004,22,37,56,0.004511590624028073,0,0.003726436388840177,0.011237917837782583,2.4648333333333348,0,2,6,0.263975000782139,0.2324033268830941,0.26359017438315707,0.29727002831907834,0.34766191691290393,0.31479007960365474,0.34732214042040166,0.38239008847705713,0.5271908843736745,0.4526059635293726,0.5248875488010711,0.6090710597564066
29591,Colton Cowser,OF,BAL,511,0.18948310855426007,0.15159840132196775,0.18866473551572227,0.2298537741711677,96.84200000000001,76,96,119,0.11754826753235212,0.0868905637306766,0.11663794172610295,0.1510458146079249,60.0815,44,60,78,0.10826825630223191,0.07761632477846944,0.10749036808494997,0.14211533579092403,55.32883333333333,39,55,73,0.03539945983736066,0.018133582287412124,0.03446634720936968,0.0553599539150248,18.083999999999996,9,18,28,0.023600754329565765,0.009968218448623516,0.02244541210205081,0.040886275557046166,12.062833333333334,5,11,21,0.20790502618085543,0.18098874919780322,0.20737883952330116,0.23665360476265485,0.2844991470486556,0.2554421350889224,0.2840957476209832,0.31505445206560756,0.37600127575422304,0.31973966158532807,0.3748436573381465,0.43716637711066714
29592,Connor Norby,3B,MIA,497,0.21913114480014975,0.17646225522277553,0.2182317987997675,0.2646735061772256,108.946,86,108,134,0.1263853953824238,0.09350245810772582,0.1260767176130413,0.16132488716645774,62.83683333333333,46,62,81,0.11530980630108682,0.08355631423504016,0.11411664287303305,0.15194014399073028,57.3335,41,57,76,0.03149383806684894,0.015551800270634577,0.03043664976097363,0.050885882885883055,15.658666666666665,8,15,25,0.017426681972800458,0.005953812124462322,0.01642422425387513,0.032637208955472695,8.661833333333334,3,8,16,0.2427911773595608,0.2124948409277302,0.2422729797119939,0.27539335340747106,0.3125995507296599,0.28053419159519627,0.3121540083505172,0.34666515170619827,0.4083513151449767,0.34904359669523244,0.40697465956296325,0.4754658652490011
29606,Justyn-Henry Malloy,DH/OF,TBR,203,0.1999148634205167,0.1439567490202858,0.19842414764172828,0.25957846072163276,40.556499999999986,29,40,53,0.10814129566359075,0.06856262861940601,0.10674417988212404,0.15408389982849824,21.935833333333335,14,22,31,0.10882956985385248,0.06633522962030636,0.10739098884166186,0.15601745273740888,22.07766666666667,13,22,32,0.029070396178976464,0.009654138673354394,0.026975981627681504,0.0549122155618236,5.900333333333333,2,6,11,0.004395403287807515,0,0.00467840828825691,0.014998742457391691,0.891666666666667,0,1,3,0.22409661830920458,0.19357996309885273,0.2234431332626487,0.25694937570153065,0.3077438964759197,0.2755038567462903,0.30730046765112673,0.3415614092276176,0.3752228623768211,0.31669767979740426,0.3725633885403578,0.44300631271915997
29617,Henry Davis,C/OF,PIT,282,0.14654488829008114,0.10641372130732621,0.14585022099771633,0.18884226432746554,41.30366666666666,30,41,54,0.08477014580564027,0.05407944349282566,0.08370993782158709,0.11753461600114921,23.8985,15,24,34,0.07466444163300466,0.04585639802124896,0.07353367468989308,0.10680845129134818,21.046000000000003,13,21,30,0.018975982747237313,0.006611190355192967,0.017980808059210863,0.035727845034465744,5.347666666666665,2,5,10,0.00710766503300356,0,0.006822859949305508,0.018107134856286605,2.0038333333333336,0,2,5,0.1551762517876818,0.13451493538463355,0.1546070199650183,0.17742726039234835,0.23554035160014766,0.2102336073464004,0.23497649017324224,0.26197269410701435,0.25977106697505725,0.22334999380764428,0.2588372285001457,0.2993733039968341
29622,Sal Frelick,OF,MIL,511,0.26459026288208815,0.2186365757900362,0.263445432264651,0.31442596652917265,135.3315,110,135,164,0.13951059225342796,0.10630360130273785,0.13875034819913468,0.17549231357316541,71.35583333333332,53,71,91,0.1042308590291388,0.0755011494819747,0.10317010345319672,0.13571280678811024,53.310500000000005,38,53,70,0.020342692085000436,0.009228089087203033,0.01946596503915283,0.0343047674690051,10.401833333333332,5,10,18,0.02908264600263171,0.013665484266786125,0.028326747644075154,0.047358501624620845,14.878000000000002,7,14,24,0.2970509740108589,0.26621610925083594,0.29685146608401103,0.32913913526277394,0.36133954580247907,0.32915479705339307,0.3612578905795497,0.39438519476307177,0.4334923195930611,0.3767670170953726,0.4316292165930591,0.49613020292659354
29630,Joey Loperfido,OF,HOU,399,0.2845488428631026,0.2301758412544168,0.2834507742658321,0.3436895248364543,113.39583333333334,90,113,139,0.14787095974435038,0.10933367689775023,0.14651292184766826,0.19087357799887078,58.935833333333335,43,59,77,0.14863735875546488,0.10564235146405325,0.1472990458021995,0.19764947381215336,59.24066666666665,41,59,79,0.04094083026770042,0.019646973082653653,0.039449152742845446,0.06773369382878001,16.318333333333335,8,16,27,0.013253840811105427,0.0025152653469848628,0.01213114866328873,0.028288052211096884,5.280500000000003,1,5,11,0.314930043807736,0.2765932982188847,0.31440042515087974,0.35503152047713143,0.36972268514940865,0.3341877038703497,0.3695222545791992,0.40665918514194177,0.5334731243206143,0.4467904333338168,0.5307807176962729,0.6300035110567196
29634,Will Wagner,2B/3B,SDP,35,0.20470329081809968,0.08565717304666741,0.20011396503637013,0.344238968596965,7.165333333333332,3,7,12,0.09833962340962193,0.027166801456035082,0.08909385534632724,0.19506250539253406,3.442166666666667,1,3,7,0.07842616109216888,0,0.07895889003436968,0.16850922192595746,2.7479999999999993,0,3,6,0.015152102254236742,0,0,0.057911074659243486,0.5305,0,0,2,0.00912489384276093,0,0,0.033057425496388716,0.31883333333333325,0,0,1,0.22467695826178452,0.19311687930819074,0.22392794401754287,0.2579887123711806,0.3002239715823149,0.26704050071589686,0.29979559303121106,0.33470653132139716,0.31371944457591466,0.2618832026656058,0.3125311531391056,0.37075570330851626
