playerid,PlayerName,role,ERA,K9,WHIP,Ks,IP_atc,z_ERA,z_K9,z_WHIP,z_IP,composite
15440,Matthew Boyd,SP,3.722714067198835,8.16412294233494,1.1678309080816802,140.85107750024784,155.272,0.6730001538361766,-0.11610893732431671,0.8051973439248324,1.0670618940934233,0.6072876136325289
15454,Nick Pivetta,SP,3.458549520195983,9.569095978477613,1.1323394210002413,184.9482973733558,173.949,0.9987078839949814,0.9783981780870143,1.0469507723052585,1.4333699921126246,1.1143567066249698
15474,Lucas Giolito,SP,4.122301020098705,8.91232878811412,1.270567444963826,136.39328951454425,137.735,0.1803202658393785,0.4667610544343766,0.10539826381866574,0.7231123778454865,0.3688979904844768
15488,Antonio Senzatela,SP,6.932542508052472,4.929943633643039,1.7160558616659665,30.994829510471213,56.5835,-3.2846313585345075,-2.6356108600074224,-2.9290858025825335,-0.8684950332165245,-2.429455763585247
15689,Luis Castillo,SP,3.594558899043013,8.630895651783906,1.1599126613162434,167.08359094607312,174.229,0.8310120044108944,0.24751800684419714,0.859133187692497,1.4388615736003034,0.844131193136973
15734,Brad Keller,SP,5.809397391982134,6.574662239339079,1.6410880768278209,47.40981635607144,64.8989,-1.8998238567531731,-1.35433629425062,-2.418436052654584,-0.7054068307070819,-1.5945007585913649
15823,Zack Littell,SP,3.777517529975315,7.188739510426349,1.1756467649444935,117.86417676644695,147.561,0.6054289688747924,-0.8759556240687493,0.7519589381071187,0.915827662480956,0.3493149863485294
15873,Sean Manaea,SP,4.444592925185208,9.764181574538828,1.2872668050002942,147.59536868072894,136.044,-0.21705692214924435,1.130374456286262,-0.008350915845507264,0.6899471482181122,0.39872844162740567
15890,Luis Severino,SP,4.93297933169246,7.183335679651975,1.397453684633828,137.41800970015112,172.171,-0.8192241308404813,-0.8801653356296695,-0.7588986698132217,1.3984984496658641,-0.2649474216543771
16137,Carlos Rodón,SP,3.4113800101368135,10.326910760772392,1.1414659812612835,164.70275228902992,143.54,1.0568666120619583,1.5687537579084747,0.9847843934391168,0.8369646297596833,1.1118423482923083
16149,Aaron Nola,SP,4.880372833764107,8.72701591868415,1.304585006249206,160.66048438923357,165.686,-0.754361744020411,0.32239796065910514,-0.1263153875989642,1.2713094998530188,0.17825758222318716
16162,Brandon Woodruff,SP,2.646241929165099,10.919423137020967,0.9604335188961719,179.6657617580681,148.084,2.0002611380831596,2.0303348666490453,2.2179031501847093,0.9260851521882988,1.7936460767763032
16207,Spencer Turnbull,SP,5.024312308341253,7.297441838745039,1.4421629259769604,45.76874438573791,56.447,-0.931835216811092,-0.7912739478045346,-1.0634396531253236,-0.8711721791917679,-0.9144302492331795
16256,Kyle Freeland,SP,5.650862465203996,5.936537468476858,1.4950222042037182,111.43342559023056,168.937,-1.7043545867937868,-1.8514505336430422,-1.4234953392596066,1.3350706834831747,-0.9110574440533152
16350,Ryan Borucki,SP,4.394158723334957,7.060818726809384,1.3212485015591262,12.011237189716853,15.31,-0.15487291754533095,-0.9756089300582773,-0.23982027148085588,-1.6779835636869151,-0.7620714206928448
16358,Tyler Mahle,SP,3.148095219191183,8.843005656725882,1.0958544986463834,127.39135693460898,129.653,1.3814896268350607,0.41275670088796734,1.2954710736101764,0.5646018007618441,0.9135798005237621
16400,Reynaldo López,SP,2.9260338381839954,9.897127421266983,1.0510428702812395,125.04800560605915,113.713,1.6552852939084313,1.233942404898177,1.6007094752506825,0.25197391178470324,1.1854777714604985
16502,Ryan Yarbrough,SP,4.664739452504097,6.488424211943167,1.3237227551914696,46.72898233199349,64.8171,-0.48849162649889627,-1.4215177505318053,-0.25667387068139685,-0.7070111570131252,-0.7184236011813059
16511,Jordan Montgomery,SP,4.841210569023602,7.011459055277964,1.3728368027664033,58.34811577641339,74.8964,-0.7060757325127031,-1.0140612777658378,-0.5912185843372267,-0.5093279524104088,-0.705170886756544
16561,Austin Gomber,SP,6.250106952873562,5.557104163985629,1.5792594498787667,62.74649802759818,101.621,-2.4432068063799486,-2.1470380224462873,-1.997284848065997,0.014816042681090439,-1.6431784085527856
16918,Luke Weaver,SP,5.614182388409471,7.403666835959816,1.4712560584976369,56.89018728233944,69.1565,-1.659129045780267,-0.7085221708698517,-1.2616101189911473,-0.6219034116287209,-1.0627911868174966
16943,Sean Newcomb,SP,4.127092622090878,8.88844848065086,1.3304616844297725,86.46070366637377,87.5458,0.17441235038894495,0.4481577319759557,-0.30257668797486614,-0.2612379135881098,0.014688870200481166
16944,Grant Holmes,SP,4.037523312204919,9.414858068990636,1.2907673313569927,87.01944094099845,83.185,0.2848488830192348,0.8582432106556522,-0.032195063201916015,-0.346765372700501,0.19103291444311746
