playerid,PlayerName,position,H_mean,H_p10,H_p50,H_p90,R_mean,R_p10,R_p50,R_p90,RBI_mean,RBI_p10,RBI_p50,RBI_p90,HR_mean,HR_p10,HR_p50,HR_p90,SB_mean,SB_p10,SB_p50,SB_p90,AVG_mean,AVG_p10,AVG_p50,AVG_p90,OBP_mean,OBP_p10,OBP_p50,OBP_p90,SLG_mean,SLG_p10,SLG_p50,SLG_p90
15161,Mitch Garver,C/DH,0.17314375419980282,0.16015487330721848,0.17307187162435167,0.1860173231310662,0.09441776159188645,0.08189288437538685,0.0939059005278178,0.10724444551582492,0.10620152443290323,0.0919855376955495,0.10543405286699578,0.1205370966008813,0.03127920147211048,0.0232800420713875,0.03053871248969444,0.03992724005490683,0.002146899830365079,7.425231397657206e-4,0.001737118884596624,0.003861202750562022,0.191229745399201,0.17564074815049244,0.19078714860575113,0.20725062394171595,0.28043135648850404,0.25769897316273044,0.27983526236090595,0.3044377082948388,0.3356024036863888,0.2998983406647126,0.3342519471314732,0.3711668655582769
15172,Tim Anderson,SS,0.18342604561375295,0.16989686388459474,0.18287426958053538,0.19747754851794774,0.07182851063081362,0.06276678621300613,0.07142520034511544,0.08115202267384111,0.043321831947373435,0.0364615084127511,0.043035658680771534,0.05055024051733669,0.0038218143366959127,0.002610765205648527,0.0036895237891739876,0.005165738152951764,0.0154134644797457,0.008181314408182835,0.013884510521848838,0.023220068280597566,0.18557928076961075,0.1695534162106265,0.18517224081023426,0.20199263688431707,0.23678082280520638,0.21584764603621417,0.23650275867606885,0.2580493866054571,0.19405467101939333,0.17115991883854542,0.19290876001785578,0.21752613939608667
15194,Jake Bauers,1B/OF,0.21167412369905914,0.19681043931035674,0.211363656212599,0.2266547429808382,0.1381809924786174,0.12234496628625215,0.1375295519234913,0.15449123159649827,0.13410975157894495,0.11684661215480574,0.1334346304597952,0.15176294474920862,0.04652538081298128,0.03426338745439737,0.04532799952069552,0.060014265513829865,0.030716814213488642,0.01640732680191328,0.027486967319277897,0.04594025176285798,0.24243561517400966,0.22397519752768172,0.242457941415763,0.2606873292938012,0.33038331101134416,0.3061259196430698,0.3297638836042743,0.35471624228857,0.451811602425273,0.40422670349069945,0.44989097206891815,0.49955175157810994
15223,Adam Frazier,2B/OF,0.2147964307479468,0.20030304340331517,0.21455628100262414,0.22963641967974546,0.10582114332975874,0.09325998661873786,0.10531051986167227,0.11898965770445678,0.0882505303991801,0.07671273809713812,0.08760579382302972,0.10052626890806708,0.01577235861779535,0.011362032235504558,0.015280061247754322,0.020667904029839184,0.012782431188227307,0.006794215233576096,0.011433476074562667,0.019412162135333918,0.2324523823314769,0.2146745267125855,0.23208228024872407,0.2506161196643585,0.29516455517944445,0.2719279418010799,0.29462275717168607,0.3186080243370276,0.33322417595185555,0.29806316532750027,0.3315758221210993,0.36898546604609456
15271,Austin Wynns,C,0.2418806417125109,0.22104153706111937,0.24134590739327083,0.2633121467568169,0.11387150420397851,0.09669834407568641,0.11318539491159221,0.13167834493513803,0.14534578843760138,0.12144193000170506,0.14403219650978344,0.1704091771284371,0.042774857846048946,0.028662141500072645,0.041209264017140146,0.05814028699573881,0.0032517571851388926,7.015304651953993e-4,0.002346537055190648,0.006763775519062576,0.2712645415575778,0.248645706639987,0.27064804539342313,0.2946838208982567,0.32680566032096914,0.29982951688342313,0.3262742314313986,0.35499489855228933,0.4655818544277883,0.4104177332766499,0.46352652296813013,0.5213665402147099
15274,Mike Tauchman,OF,0.22674811375366538,0.21107349316619375,0.2263037831832086,0.24313724238237355,0.13281031934747434,0.11656391142717203,0.13216464781676276,0.14950018580276592,0.1074357220276052,0.09335450505907945,0.10685960016649407,0.12193930003341143,0.026262105712151085,0.019369034661094322,0.025646413860776113,0.03355178407306966,0.008689753973305897,0.004290360021876581,0.007696243747274822,0.013510119341225903,0.26781284103940683,0.2484826470745207,0.26733108030897124,0.2872847366922426,0.36702238316487007,0.34038876603648516,0.3663704474824113,0.3939168520779149,0.4213500715276428,0.3775613419509674,0.419356320597417,0.4659776852597539
15279,Garrett Cooper,1B/DH,0.19635611671732345,0.18123508571479227,0.19609602117366337,0.21173300492146374,0.07679271302102783,0.06581657787022396,0.07647470163962705,0.08777224580645093,0.09782323506358939,0.08364036860484769,0.09721186010895194,0.11244466209501781,0.01880290422705037,0.013421141254032622,0.018209856281025047,0.024925001679850844,5.679133138123271e-4,1.2472580299152967e-4,3.893118774894438e-4,0.0011338743793468274,0.20934587278350053,0.19203901990071698,0.20908663024855137,0.2270353589318102,0.2752778266184074,0.25208471636776825,0.274888559169292,0.2990172517715293,0.3097700183161403,0.2745816668695774,0.30788705584352805,0.3468871672385782
15362,Jeff McNeil,2B/OF,0.22933574082971986,0.21426869229237533,0.2289955312290014,0.24476987747598444,0.11147893394344104,0.09833206759145718,0.11108782558145897,0.12479449788093236,0.10219497747579727,0.08965638036201504,0.10164823640507886,0.11515010621842812,0.021088427425261985,0.015723541215328943,0.020583942258222375,0.026881435577832596,0.006649357632363295,0.003249148931860381,0.005916054344787057,0.010219295336967546,0.2534887091790586,0.23483171846862672,0.2532359479719962,0.271533614263795,0.321224283589826,0.2968528305003731,0.3210145773588252,0.34588389997998853,0.3827777399219817,0.34294093559712013,0.38150944397059083,0.4216901754658103
15429,Kris Bryant,3B/OF,0.19216464173254552,0.17760847613154293,0.1916239033053447,0.20737058301489109,0.09297800943400461,0.08079861681629597,0.09241495746867233,0.10564901276936865,0.08223189984019137,0.06985108046785088,0.08165628043210071,0.09509827861771467,0.016291818625379834,0.011448496201549833,0.015818752435142483,0.021633443896832395,0.0032428322870488905,0.0012496020156424217,0.0027288507865668504,0.0055853309380769905,0.21167680590897964,0.19401686721189462,0.21138706441076932,0.22929509575551835,0.2936778182658433,0.2694437333346168,0.29331126880537367,0.3183438709334915,0.3076266384062975,0.272711719160178,0.30642185676132594,0.34314972637080554
15464,Hunter Renfroe,OF,0.16936469159371345,0.157516183046151,0.16900382860493832,0.18167609048002245,0.07825678143298564,0.06813549515001976,0.07773550993419574,0.0886804180487664,0.08618212625222609,0.07450114843377191,0.08576139919539483,0.09818447793086772,0.01905620553122411,0.013805499300256195,0.01853314954806562,0.0247337423831765,9.712132785120531e-4,3.1840583533629803e-4,7.759161304737988e-4,0.0018100526637568931,0.17639649672478136,0.1619011640880884,0.1762085192268008,0.19098599352408147,0.2436742714573002,0.22321109771048842,0.24322454100830304,0.26472156669976254,0.2762267514602911,0.2470687631247713,0.2746420125457551,0.30651374383992414
15491,J.P. Crawford,SS,0.2160921277763367,0.2024324867352551,0.21576143539489767,0.23016685763744865,0.11933982251861255,0.10649861310233451,0.11881808113561398,0.13282512704242272,0.09265050355915688,0.08156361532096722,0.09223258866440831,0.10425429281235243,0.020502212335172482,0.015523526883430526,0.020065042339888685,0.02583650755718976,0.0094963062087957,0.00475737845265744,0.00836642594667381,0.014315709529354159,0.24405450761318523,0.2266936188067433,0.24390809100473887,0.2615684558933012,0.32855313295512456,0.3050929810117484,0.3282491832411383,0.3524595683889916,0.3698998177291365,0.334393404121851,0.367919197030261,0.406796197221219
15518,Amed Rosario,SS,0.24867658559403094,0.23186147044689898,0.24827301611002067,0.26600350002310413,0.11521776932553826,0.10245243779571955,0.11484466392581577,0.12832486254056055,0.10269241332471314,0.08925185904016082,0.10201392607720634,0.11704164667492249,0.0193596124877719,0.014103452480316721,0.018795340295992495,0.02530640455033963,0.019807424403292643,0.010617250128858865,0.017841728014149363,0.029762790723476474,0.26799303762960286,0.24922504209595095,0.2676900583534835,0.28711427670501205,0.3141652910636551,0.2918225827131518,0.313833798520479,0.3376994610773537,0.38652345823421974,0.345296353670519,0.38466367819430797,0.42879937509068533
15640,Aaron Judge,OF,0.27730473187803395,0.26026306196169446,0.2771150019700216,0.2941131181229539,0.19816090641262762,0.17754780739889248,0.19725968294583046,0.21934805847317412,0.20073846903263434,0.18092624156522236,0.20018374832829106,0.22115108577582027,0.09428067049914493,0.07660650178606633,0.09296589923044801,0.11291238086659151,0.01423158766354055,0.008153476009285066,0.013125318492615515,0.020941048265562923,0.33845036470399964,0.31798404489086546,0.3379646023525323,0.359281004185424,0.4472915438244897,0.42073657702252043,0.44728895883468023,0.47425392707168035,0.7169843012320051,0.65214577403624,0.7149796829015738,0.7820026947203965
15653,Dominic Smith,1B/OF,0.2408023434259192,0.2239815246812053,0.24062117842281805,0.2576529480641822,0.11331421458149041,0.09996888384985816,0.11291740761495983,0.12697985186685665,0.11719622415101234,0.10176399199368281,0.11628235865151831,0.1335692192226441,0.02616224299546415,0.018954182686791343,0.025444962384153676,0.03401202979906183,0.005018769260164673,0.0018846222591689399,0.004079795455366399,0.008604019037234274,0.2689315122910043,0.24929877582921228,0.2683594551452981,0.2886137749822298,0.3373461396176634,0.31308887355477366,0.3368395130174436,0.3624003608951653,0.41646163875672104,0.3727206657615497,0.41464820510837697,0.4605161158472
15674,Reese McGuire,C,0.21442978332607188,0.198668557404317,0.2142243090999661,0.230533598835465,0.10309130653741905,0.09018818960784465,0.1023970423122085,0.11641679203890774,0.12027119940418093,0.10256787647405659,0.11946940064462819,0.13920628600060128,0.0297272962068773,0.020588627563392158,0.02868723483756639,0.03993071952922241,0.0049206909276289105,0.0017340574891447746,0.0039593696292991015,0.008682758401931985,0.23054925566250278,0.21213349967000716,0.2301382707843798,0.2493182373327441,0.2839090596006748,0.26113280211165146,0.28340207423508607,0.307178850765104,0.377625457941408,0.33468779476468435,0.3757637802572729,0.4208812993576497
15676,José Abreu,1B,0.17594349823929592,0.16266128231190588,0.17537308455630285,0.1896880774141713,0.07622334867326729,0.06617886316664254,0.0757138180868587,0.08696303157815952,0.0951273664072526,0.08283753484181101,0.0944530885683515,0.10816069648712616,0.018438317651250428,0.013596156538447632,0.017950496386839994,0.02378658355376709,5.735346169347886e-4,1.3847196664617604e-4,4.250242743703079e-4,0.0011614642748531546,0.17351050472595497,0.1586572779159856,0.17309753127395494,0.18840718503043247,0.2309361967688638,0.21090176895887033,0.23038847771601406,0.2520848813839839,0.26368942312321664,0.2347384585835108,0.2624785648544322,0.29266610480090466
15679,Rowdy Tellez,1B,0.20556579723848722,0.19164239199036665,0.20507881276228745,0.2201238353349594,0.10670621123547107,0.0940973865644622,0.10625167149413134,0.1196761614445731,0.14122638343066998,0.12483982412935038,0.14050703431467187,0.158248221229516,0.04643383022250837,0.035400126288438014,0.0453328360187968,0.05835777406881018,0.0019658140964067825,7.245674169682496e-4,0.001611638223747997,0.0035107994029308755,0.22538086793153175,0.20801648056523891,0.22492242379633676,0.2430000465540348,0.29468593925547004,0.27167920710701715,0.29423792543333677,0.3182485892834839,0.4145157023273495,0.3724843412235082,0.41249073272152803,0.45763161253375884
