Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bryan King","HOU",3.43985,2.7324,0,3.60648,63.5728,0,0.291163,16.6681,1.76773,64.9884,269.439,58.4386,28.3067,26.0422,7.53163,18.3369,0.803076,3.54757,64.2627,8.8995,2.53941,3.50456,1.04303,0.238505,0.0680557,0.17044953256845474,0.236063,1.18137,0.289638,0.731812,,,3.6743,0.55908,0.552737,999,1.55867,1.2695,0.86207,1.55867,-1.2695,3.85057,361.8,5.5661538461538465,351,5.4,,,,,,,,,,,,,,,,,,,"Bryan King","25890",687911
"Colin Rea","CHC",4.80863,4.46109,3.51451,4.34745,33.949,8.97792,0.121472,0.707156,0,80.7985,342.724,81.013,42.4236,39.0298,11.9875,22.911,0.760529,3.67654,65.2413,7.26711,2.55201,2.8476,1.33526,0.190361,0.0668496,0.12351145595312119,0.25626,1.28621,0.288921,0.705752,,,4.43611,0.558609,0.554237,999,2.26477,0.168469,0.342645,2.26477,-0.168469,4.54314,294.19999999999993,3.6320987654320978,302,3.728395061728395,,,,,,,,,,,,,,,,,,,"Colin Rea","12317",607067
"Richard Fitts","STL",4.37191,6.57115,5.12829,4.40803,29.9465,16.6958,0,0.663529,0,100.307,428.075,99.9357,53.4008,49.1287,14.6702,32.2386,0.764478,4.00655,77.1703,6.92404,2.89258,2.39372,1.31627,0.180273,0.0753106,0.10496203601360321,0.255048,1.31769,0.284228,0.705628,,,4.58176,0.556069,0.792811,999,1.57453,-1.29094,0.216731,1.57453,1.29094,4.71103,345.5,3.455,355,3.55,,,,,,,,,,,,,,,,,,,"Richard Fitts","30160",690916
"Corbin Burnes","ARI",2.52047,1.86914,3.279,3.60434,6.43685,6.33675,0,0,0,37.857,157.352,33.5909,16.4794,15.1611,4.21651,12.0405,0.242908,1.55623,36.3461,8.64079,2.86246,3.01866,1.00242,0.230987,0.0765195,0.15446698665618896,0.233668,1.20536,0.284657,0.733783,,,3.74037,0.552163,0.825739,731.2899780273438,1.26564,-0.149492,1.09414,1.26564,0.149492,3.54115,173.6,4.568421052631579,168,4.421052631578948,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Spencer Arrighetti","HOU",5.15412,7.2858,5.48627,4.59943,26.8463,15.8873,0,0.71762,0,96.4791,416.58,88.3944,53.5929,49.3055,14.4681,41.9891,0.704096,5.44186,95.4102,8.90029,3.91693,2.27226,1.34965,0.229032,0.100795,0.12823741883039474,0.239455,1.35142,0.285132,0.697284,,,4.58165,0.551167,0.35699,576.1900024414062,2.87858,3.26758,0.41292,2.87858,-3.26758,4.44944,362.40000000000003,3.7750000000000004,351,3.65625,,,,,,,,,,,,,,,,,,,"Spencer Arrighetti","29921",681293
"Lucas Erceg","KCR",4.54543,4.7903,0,3.69009,60.089,0,3.92525,14.7201,4.38961,63.251,268.058,57.1492,28.1887,25.9336,5.52576,22.9106,1.66801,3.93763,60.5587,8.61692,3.25995,2.64327,0.786261,0.225917,0.0854687,0.14044789969921112,0.236928,1.26575,0.294781,0.717208,,,3.62939,0.550792,0.504912,999,1.4209,1.11918,0.729818,1.4209,-1.11918,4.02691,365.2000000000001,5.796825396825398,358,5.682539682539683,,,,,,,,,,,,,,,,,,,"Lucas Erceg","19360",668674
"Dylan Lee","ATL",3.27254,3.04573,0,3.59013,63.315,0.0000651913,1.91389,16.3787,3.49888,65.8781,268.418,57.9757,28.5641,26.279,9.12202,17.878,1.5303,1.37586,72.3683,9.88667,2.44242,4.0479,1.24621,0.269611,0.0666051,0.2030058577656746,0.232681,1.15142,0.291362,0.749642,,,3.61498,0.548245,0.612296,999,1.03973,0.597279,0.881582,1.03973,-0.597279,3.82456,387.90000000000003,5.877272727272728,374,5.666666666666667,,,,,,,,,,,,,,,,,,,"Dylan Lee","19996",669276
"Tyler Anderson",,4.77012,7.177,6.75381,4.86845,21.3235,20.7664,0,0.204526,0,115.356,503.316,116.819,67.8265,62.4004,18.8622,46.5743,1.42673,4.23815,89.0615,6.94855,3.63371,1.91224,1.47162,0.176949,0.092535,0.0844145119190216,0.258161,1.41643,0.284278,0.697638,,,5.03814,0.547765,0.378795,999,2.32481,1.01052,0.904115,2.32481,-1.01052,3.79451,338.09999999999997,2.9399999999999995,353,3.0695652173913044,,,,,,,,,,,,,,,,,,,"Tyler Anderson","12880",542881
"Caleb Thielbar","CHC",3.47314,2.85503,0,3.74268,64.4052,0,1.162,16.8977,1.28848,62.6607,258.005,54.2632,28.3236,26.0577,7.96825,19.9305,1.15268,1.46835,64.5448,9.27063,2.86264,3.23849,1.14449,0.250169,0.0772487,0.17292062938213348,0.22934,1.18406,0.282127,0.727657,,,3.75266,0.543955,0.504805,999,1.98229,-1.11011,0.808418,1.98229,1.11011,3.92211,367.4000000000001,5.831746031746033,351,5.571428571428571,,,,,,,,,,,,,,,,,,,"Caleb Thielbar","10078",573204
"Sam Hentges","SFG",1.68783,1.78905,0,3.56172,50.9437,0,0.0314053,6.78472,1.4272,50.3465,211.094,45.8675,21.657,19.9245,4.72936,16.9473,0.913091,1.7713,50.8717,9.09389,3.02953,3.00175,0.845427,0.24099,0.0802833,0.16070715337991714,0.238427,1.24765,0.300773,0.732427,,,3.45083,0.541631,0.423574,999,2.56819,-0.376909,1.03927,2.56819,0.376909,3.6143,261.9,5.2379999999999995,258,5.16,,,,,,,,,,,,,,,,,,,"Sam Hentges","18548",656529
"Jared Koenig","MIL",4.17931,3.08731,0.286481,3.49366,60.4515,0.391769,1.3591,13.6718,1.87099,64.7949,270.993,57.3252,27.3395,25.1524,6.83014,21.9468,1.53757,3.16802,65.4949,9.09723,3.04841,2.98425,0.948706,0.241685,0.0809867,0.16069795191287994,0.233145,1.22343,0.290948,0.744981,,,3.6467,0.540348,0.728669,999,1.10553,-0.895697,0.788891,1.10553,0.895697,3.94815,362.7,5.58,350,5.384615384615385,,,,,,,,,,,,,,,,,,,"Jared Koenig","27517",657649
"Jonah Tong","NYM",2.23287,2.34948,1.86536,3.80625,11.8292,5.25647,0,0.493007,0,32.8047,137.251,26.9733,15.0801,13.8737,3.61159,13.6984,0.312023,1.11765,36.8419,10.1076,3.75816,2.68951,0.990842,0.268427,0.0998054,0.16862186789512634,0.220307,1.23981,0.284963,0.718554,,,3.67515,0.539151,0.488894,438.5199890136719,2.18763,-0.325039,1.05148,2.18763,0.325039,3.59803,153.80000000000007,4.660606060606063,142,4.303030303030303,,,,,,,,,,,,,,,,,,,"Jonah Tong","32157",804636
