Season,mlbam_id,EV,LA,BarrelPct,HardHitPct,Events
2018,622569,91.6,8.8,8.5,48.9,47
2018,594798,81.5,7.6,0,11.1,45
2018,598284,92.1,16.5,15.6,51.1,45
2018,527054,83.7,6.8,0,15.6,45
2018,620439,89.3,23.1,11.4,43.2,44
2018,543699,82.8,-1.5,0,18.2,44
2018,543194,84.5,17.2,6.8,22.7,44
2018,453203,85,13.2,2.3,20.5,44
2018,622194,88.6,4.2,4.7,32.6,43
2018,607430,83.2,17.9,2.3,16.3,43
2018,460269,89.1,12.2,7,34.9,43
2018,642180,86.2,1.9,2.3,20.9,43
2018,452657,88.7,0.8,4.7,32.6,43
2018,542908,83.9,26.3,4.9,22,41
2018,465753,90.2,16.4,4.9,43.9,41
2018,571578,81.8,-4.9,0,10,40
2018,592791,84.1,-3.2,0,20,40
2018,622491,79.8,-1.6,0,2.5,40
2018,641684,84.6,12.9,5,35,40
2018,605233,93.4,3.1,12.8,43.6,39
2018,477132,80.1,-1.6,0,7.7,39
2018,554430,81.8,12.1,0,7.7,39
2018,593495,79.8,7,0,7.7,39
2018,649966,86.9,1.6,2.6,23.1,39
2018,488771,87.1,4.3,5.3,32.3,38
2018,544931,89.9,-7.9,2.7,27,37
2018,571927,79.2,9.7,2.7,8.1,37
2018,400085,81.3,5.7,0,2.7,37
2018,642336,86.7,8.8,8.1,29.7,37
2018,624414,91.9,0,8.1,56.8,37
2018,501213,88.6,4.9,8.3,30.6,36
2018,592866,83.1,-2.1,0,5.6,36
2018,518774,85.9,1.6,0,19.4,36
2018,571945,84.7,6.3,5.6,16.7,36
2018,407812,90.9,12.8,5.7,48.6,35
2018,446653,85.9,4.8,2.9,37.1,35
2018,621559,85.1,13.4,8.6,34.3,35
2018,493596,86.8,14.6,5.7,20,35
2018,592826,88.2,-1.8,2.9,29.4,34
2018,605400,83.2,-9.4,0,6.1,33
2018,570482,85.7,18.2,6.1,30.3,33
2018,543294,83,4.8,0,15.2,33
2018,622046,87.8,12.3,6.3,37.5,32
2018,452104,86,10.4,0,16.1,32
2018,500779,82,-14.7,0,12.5,32
2018,605244,87.2,18.5,12.5,40.6,32
2018,593647,88.8,15.2,6.3,45.2,32
2018,643327,81.4,-2,0,19.4,31
2018,608348,85.1,10.2,6.5,25.8,31
2018,628317,79.5,8.4,0,3.4,31
2018,596133,80.9,-0.2,0,3.2,31
2018,621550,90.5,17,12.9,41.9,31
2018,592859,84.1,12.9,0,26.7,30
2018,448179,78.2,-5.5,0,13.3,30
2018,656427,85,-4.8,0,20,30
2018,518542,85.8,7.7,3.3,23.3,30
2018,488721,89.5,7.7,3.3,33.3,30
2018,475115,88.1,0.7,6.9,27.6,29
2018,607732,89.6,10.5,0,34.5,29
2018,607536,83.4,1.7,0,13.8,29
2018,519295,88.9,14.2,3.4,34.5,29
2018,621466,85.1,16.9,6.9,31,29
2018,624419,84.7,11.9,0,21.4,28
2018,641658,85.3,11.8,3.6,32.1,28
2018,592351,83,-2.5,0,14.3,28
2018,572233,86.2,18.7,14.8,29.6,27
2018,600301,80.8,4.5,3.8,38.5,26
2018,607752,88.1,2,0,30.8,26
2018,458675,86.5,19,7.7,30.8,26
2018,502624,82.1,-1.7,0,7.7,26
2018,467100,81.9,-5.1,0,11.5,26
2018,543022,83.9,0.5,0,8,25
2018,518516,91,16.6,0,52,25
2018,593372,85.1,-2.9,4,36,25
2018,593527,85.4,6.4,0,24,25
2018,592314,78,-9,0,4,25
2018,622072,81.4,-13.5,0,4,25
2018,608717,86.3,-0.4,0,25,24
2018,542881,82.3,13.1,0,4.2,24
2018,543148,89.8,26,4.2,41.7,24
2018,448855,81.3,11,0,20.8,24
2018,593643,81.2,19.8,0,16.7,24
2018,612672,77.7,-13.4,0,8.3,24
2018,621111,86.4,-4.4,0,33.3,24
2018,641477,87.3,19.6,4.2,25,24
2018,453385,85.8,4.3,4.2,16.7,24
2018,548389,82.9,-11.5,0,0,24
2018,605397,81,-5.2,0,26.1,23
2018,547179,93.3,2.9,17.4,52.2,23
2018,461829,82.6,6.1,0,0,23
2018,595453,85,8.5,4.3,26.1,23
2018,605446,83.3,-2.6,0,17.4,23
2018,601713,81.4,-10.1,0,9.1,23
2018,502117,85.5,6.2,4.3,21.7,23
2018,641816,89.8,-13.5,0,31.8,22
2018,592808,88.6,4.9,4.5,36.4,22
2018,595222,86.2,21.2,0,27.3,22
2018,641771,79.4,-4.9,0,4.5,22
2018,605498,82,-15.4,0,14.3,22
2018,502706,88.9,-2.7,0,27.3,22
2018,476451,82,-1.4,0,0,22
2018,624512,83.3,12.5,9.1,22.7,22
2018,450306,77.8,3.2,0,4.8,22
2018,608379,79.3,-1.4,0,0,22
2018,640449,88.1,2,4.8,33.3,21
2018,605357,88.9,7.7,0,42.9,21
2018,643265,86.8,-0.3,0,23.8,21
2018,608718,84.1,-3.7,4.8,19,21
2018,641778,85.3,4.1,0,20,21
2018,595373,86.6,6.8,0,28.6,21
2018,543101,82.4,4.7,9.5,9.5,21
2018,542513,85.2,8.7,0,15,21
2018,453562,90.5,14.8,0,25,20
2018,456701,84.4,-12.5,0,5,20
2018,656794,82,-16.6,0,15,20
2018,592662,82.5,-0.9,0,10,20
2018,607231,80.2,-3.6,10,25,20
