TEAM,PLAYER,THR,PROJECTED ROLE,"Sun 
 2/22","Sat 
 2/21","Fri 
 2/20","Thu 
 2/19","Wed 
 2/18","Tue 
 2/17",vFA,vSI,G,IP,ERA,Sv,HLD,K/9,K%,NameASCII,PlayerId,MLBAMID
NYY,Ryan Yarbrough,L,Middle Reliever,,,,,,,88.2018,86.8502,19,64,4.35938,1,0,7.73438,0.208333,Ryan Yarbrough,16502,642232
NYY,Cade Winquest,R,Long Reliever,,,,,,,,,,,,,,,,Cade Winquest,sa3020805,685464
PHI,Jhoan Duran,R,Closer,,,,,,,100.555,97.6975,72,70,2.05714,32,1,10.2857,0.278746,Jhoan Duran,21029,661395
PHI,José Alvarado,L,Setup Man,,,,,,,99.6219,98.9887,28,26,3.80769,7,5,11.0769,0.280702,Jose Alvarado,17780,621237
PHI,Brad Keller,R,Setup Man,,,,,,,,96.3737,68,69.2,2.06699,3,25,9.689,0.271739,Brad Keller,15734,641745
PHI,Orion Kerkering,R,Middle Reliever,,,,,,,97.3828,96.2226,69,60,3.3,4,19,9.75,0.244361,Orion Kerkering,31776,689147
PHI,Tanner Banks,L,Middle Reliever,,,,,,,92.539,92.0565,69,67.1,3.07426,1,10,8.15347,0.228464,Tanner Banks,16990,621383
PHI,Jonathan Bowlan,R,Middle Reliever,,,,,,,95.7269,96.3127,34,44.1,3.85714,0,2,9.33835,0.255556,Jonathan Bowlan,24607,680742
PHI,Zach Pop,R,Middle Reliever,,,,,,,96.0587,96.2157,5,6.2,14.85,0,0,4.05,0.0769231,Zach Pop,20185,647315
PHI,Zach McCambley,R,Long Reliever,,,,,,,,,,,,,,,,Zach McCambley,sa3014478,685112
PIT,Dennis Santana,R,Closer,,,,,,,94.6642,94.6126,70,70.1,2.17536,16,12,7.67772,0.222222,Dennis Santana,17878,642701
PIT,Gregory Soto,L,Setup Man,,,,,,,97.3074,96.8443,70,60.1,4.1768,1,22,10.442,0.250896,Gregory Soto,19677,642397
PIT,Isaac Mattson,R,Setup Man,,,,,,,93.7265,,44,47.2,2.45455,0,12,8.4965,0.227273,Isaac Mattson,20385,676755
PIT,Justin Lawrence,R,Middle Reliever,,,,,,,94.9055,94.9916,17,17.2,0.509434,0,6,11.717,0.333333,Justin Lawrence,17639,664875
