playerid,PlayerName,Team,role,IP_atc,z_ERA_p50,z_WHIP_p50,z_IP_p50,z_W_p50,z_Ks_p50,z_SVH_p50,composite_mean,composite_p05,composite_p50,composite_p95,expected_rank_overall,p_top20_overall,p_top50_overall,expected_rank_role,p_top20_role,p_top50_role
21029,Jhoan Duran,PHI,RP,70,0.7611806308556988,0.74717018257876755,1.0752722006094109,0.8272587020114852,1.269672518095216,1.982438800535139,1.1396076675591682,0.5182838580669237,1.1174331369735964,1.8342433723320617,26.9615,0.5031666666666667,0.846,26.9615,0.5031666666666667,0.846
21045,Seth Martinez,BOS,RP,26,-0.2946024345626422,-0.2683556211289521,-1.194200822560664,-0.7903267275190764,-1.1516303486399542,-0.7133846770299295,-0.7298590973804873,-1.1984306389072348,-0.7232376531305855,-0.28650595808253976,258.541,0,0,258.541,0,0
21132,Alexis Díaz,TEX,RP,58,0.37863721423837315,0.08821486333175951,0.45147709371661904,0.19876492823409386,0.5421870593829443,-0.26847045979355,0.2588297231206186,-0.24856148977260742,0.2559675246936447,0.7820406590669985,113.9255,0.004166666666666667,0.07033333333333333,113.9255,0.004166666666666667,0.07033333333333333
21205,Connor Brogdon,CLE,RP,52,-0.43890753414502803,-0.3535979670934754,0.1370955155679755,-0.18508154812705027,-0.10641260684516518,-0.5024531711150481,-0.21554775975253215,-0.7310479076577251,-0.21297852338843049,0.30308108740524425,187.5155,0,0.002,187.5155,0,0.002
21267,Jake Bird,NYY,RP,53,-0.43998456020986065,-0.4439438973154726,0.20348746391404543,-0.1237557979404263,0.04574213062004989,-0.5134685915291253,-0.1901574636150161,-0.6848269519441708,-0.19288687583097047,0.31819700161193376,183.71383333333333,0,0.0018333333333333333,183.71383333333333,0,0.0018333333333333333
21345,Bennett Sousa,HOU,RP,50,0.4519305158359218,0.4375254621285009,0.04314485273152046,0.06569755741652195,0.02770008133778927,-0.45691638484450253,0.11305200001459928,-0.3773280469089241,0.10647154261319719,0.6235466271300762,135.77033333333333,6.666666666666666e-4,0.025666666666666667,135.77033333333333,6.666666666666666e-4,0.025666666666666667
21420,Yerry De los Santos,NYY,RP,34,-0.03711139173667913,-0.20469954397083792,-0.7838981158199252,-0.649525260633995,-0.800540999044204,-0.6210337684694087,-0.497102626944357,-0.9542045941736242,-0.49164402028736265,-0.05246359990117277,230.07366666666667,0,0,230.07366666666667,0,0
21453,Konnor Pilkington,DET,RP,11,-0.045491727594494186,-0.34226342021542944,-1.9659323145703786,-1.200318354980633,-1.585723251279536,-0.798717122786845,-0.9806600422694325,-1.5869173032206374,-0.9652147573340976,-0.4133544216643297,277.94483333333335,0,0,277.94483333333335,0,0
21461,Cole Sands,MIN,RP,68,0.29351248309476796,0.41731758314744855,0.9694836732907253,0.374911640833818,0.7817527193021205,-0.3721705331876637,0.43471316944901395,-0.07692473838348159,0.4254312972423572,0.9837127181100037,89.95716666666667,0.0215,0.18066666666666667,89.95716666666667,0.0215,0.18066666666666667
21520,Hogan Harris,ATH,RP,66,-0.009326824800571284,-0.04355713938437006,0.8565676108159127,0.16456558995600024,0.5806902487031188,0.5054530551089029,0.3673468773668817,-0.17866443888958788,0.3572806463634189,0.9517439801355818,99.57166666666667,0.017833333333333333,0.14766666666666667,99.57166666666667,0.017833333333333333,0.14766666666666667
21527,James McArthur,KCR,RP,40,-0.03347093513604378,0.005130778334287638,-0.470003890589334,-0.357072254249397,-0.6282629348809627,-0.5887747790829349,-0.33439851212555294,-0.7892007982211401,-0.32977869244450003,0.1136984724856363,206.4915,0,0,206.4915,0,0
21537,Daniel Lynch IV,KCR,RP,59,0.07625830866114289,-0.05446600274956215,0.5014688322330785,-0.008518947761635209,-0.015548355157267109,-0.4650600780418523,0.017635328667994478,-0.46827958404440234,0.014121066675061739,0.5083970953951268,150.60016666666667,3.333333333333333e-4,0.008833333333333334,150.60016666666667,3.333333333333333e-4,0.008833333333333334
21544,Chase Shugart,PHI,RP,42,0.162989978371102,0.05616971320028992,-0.37061799598013123,-0.32505663067030865,-0.5080411029134753,-0.5406834318688123,-0.23227106903763695,-0.6945882549782862,-0.23135794754113115,0.23811303705996417,190.55666666666667,0,6.666666666666666e-4,190.55666666666667,0,6.666666666666666e-4
21546,Justin Hagenman,NYM,RP,27,0.039275819195748185,0.13419145522133663,-1.139011529084085,-0.7701410756558502,-1.0938089065663075,-0.7139453968106249,-0.582872213102149,-1.0598679607715795,-0.5751034187551325,-0.13615630553184363,241.00616666666667,0,0,241.00616666666667,0,0
21574,Brendon Little,TOR,RP,54,0.2908004843672438,-0.09821065062332401,0.24543308994806654,0.08336251191625152,0.4670240255902314,-0.22426583747697243,0.14440987309381093,-0.3389046547293347,0.13893572441808977,0.6703158755719476,130.92116666666666,0.0018333333333333333,0.034333333333333334,130.92116666666666,0.0018333333333333333,0.034333333333333334
21584,Tristan Beck,SFG,RP,34,-0.1592175055098135,-0.11374278427641371,-0.7727187866242708,-0.7155160232728888,-0.936552185384685,-0.693197728014673,-0.5391582225229492,-0.9882594905470721,-0.5292752138418173,-0.0947023630960974,235.9155,0,0,235.9155,0,0
21623,Grant Wolfram,BAL,RP,45,-0.5222401638784706,-0.5688608874240704,-0.20781336073633838,-0.35449710864271167,-0.24468736224046808,-0.5872565051482357,-0.4040188085119456,-0.9161709154573688,-0.4021426802186513,0.1096938550132005,215.8495,0,3.333333333333333e-4,215.8495,0,3.333333333333333e-4
21662,Elvis Alvarado,ATH,RP,58,0.1562690691973756,-0.08824840896300329,0.46324069452509264,0.05191795001716307,0.5764432975360776,-0.41426120192685945,0.13775450380170026,-0.36557537677546437,0.12867074312230914,0.662298770603702,132.11883333333333,0.0033333333333333335,0.034333333333333334,132.11883333333333,0.0033333333333333335,0.034333333333333334
21863,George Soriano,STL,RP,50,-0.8475580743124924,-0.7552488758515701,0.03779817785826768,-0.3859153340781686,-0.10822386137616197,-0.6404186236033307,-0.44006894634913124,-0.9042703261948151,-0.43974291311469904,0.021845808881709367,221.93183333333334,0,0,221.93183333333334,0,0
21924,Juan Morillo,ARI,RP,30,-0.15929523462952763,-0.3702081732342385,-0.9831999834542446,-0.7346830322548263,-0.7926631724382944,-0.6203171255686115,-0.5895106075902895,-1.073826720070685,-0.5825267117717903,-0.12720711192085868,241.7075,0,0,241.7075,0,0
21951,Joel Peguero,SFG,RP,64,0.5579017800721024,0.43798460433175,0.7636067965385862,0.5559231783196088,0.6992830550082721,1.5159401559552474,0.7856262605404833,0.12313633951967477,0.7708867198900551,1.5033285704221715,54.48766666666667,0.21233333333333335,0.5413333333333333,54.48766666666667,0.21233333333333335,0.5413333333333333
21992,Camilo Doval,NYY,RP,64,-0.052012250744933826,-0.2905049581580096,0.7775633692470547,0.26093120028858124,0.7689751353206524,1.0937267709604903,0.4538756887952537,-0.1154968605576745,0.44313030044177826,1.0570205813209326,88.75116666666666,0.03983333333333333,0.2165,88.75116666666666,0.03983333333333333,0.2165
22051,John King,MIA,RP,52,-0.4625358768317861,-0.6351358293613903,0.1403430678400912,-0.2924355479994573,-0.6865654862267159,-0.5358104735966643,-0.39063313331439964,-0.8737562114172339,-0.3882272328935347,0.08333346650066178,214.62566666666666,0,3.333333333333333e-4,214.62566666666666,0,3.333333333333333e-4
22113,Cole Winn,TEX,RP,63,0.7580405943738208,0.4770057483191464,0.7132665785076784,0.2014377085295878,0.5732333670635796,0.8305818418446782,0.6234633269852133,0.04976192209342346,0.6113370865041051,1.240613207579914,68.612,0.09166666666666666,0.37733333333333335,68.612,0.09166666666666666,0.37733333333333335
22200,Ryan Rolison,CHC,RP,15,-1.4973034876807612,-1.3460906066317584,-1.7573622939021436,-1.198416997167,-1.6290027011328507,-0.8428103394161293,-1.3638423665464297,-1.9847503553447692,-1.3483207864352043,-0.7925449481277257,298.7828333333333,0,0,298.7828333333333,0,0
22207,DL Hall,MIL,RP,52,-0.003604462534513141,-0.12210578848381679,0.1495248983002111,-0.26995972813985847,-0.15534948468328116,-0.6014836493747538,-0.13886126514853503,-0.6246470182069539,-0.1412957678063012,0.3579446618894467,175.71016666666668,0,0.0025,175.71016666666668,0,0.0025
22210,Jeremiah Estrada,SDP,RP,70,0.6714693699188781,0.8073317881605626,1.0680784175678184,0.8860207781130438,1.915402569626884,-0.1194065971619985,0.9002768522494863,0.33296950081912663,0.8788620086469898,1.5360363728302935,42.289833333333334,0.266,0.672,42.289833333333334,0.266,0.672
22288,Mason Englert,TBR,RP,60,-0.20087025468043448,-0.07376063614250453,0.5471134392199795,-0.006299606182131524,0.07924613725862173,-0.6142305593962805,-0.02564541621431511,-0.49134424696931794,-0.028445707607472448,0.45821142814088084,157.5025,3.333333333333333e-4,0.0075,157.5025,3.333333333333333e-4,0.0075
22304,Brenan Hanifee,DET,RP,58,0.2750352693424361,0.19565720550658905,0.4581705335174846,0.07614924694853871,-0.1692352568636614,-0.49806363627854144,0.07341984691820451,-0.3953658845002507,0.06879306416523584,0.5639751792597161,141.67583333333334,0,0.014166666666666666,141.67583333333334,0,0.014166666666666666
22361,Colin Holderman,CLE,RP,42,-0.3938052182873701,-0.5870912984372789,-0.37399737274704914,-0.38618081870101656,-0.48154729036941957,-0.5110583810686338,-0.44523098718443394,-0.9414740335114827,-0.43975833406321296,0.04671470752953862,222.12466666666666,0,0,222.12466666666666,0,0
22533,Michel Otañez,TEX,RP,22,0.443395874367153,-0.06095247834202551,-1.3964727211223416,-0.7734129373273901,-0.842820389400885,-0.6026543133352775,-0.5247369356297045,-1.0127563770095729,-0.5162427508932458,-0.0759304360817214,233.26083333333332,0,0,233.26083333333332,0,0
22713,Carlos Hernández,CLE,RP,18,-0.6391774890366246,-0.7127212720702336,-1.6086796618434267,-0.8847936654993243,-1.3947870790386612,-0.7785898790815495,-1.0113572436206886,-1.5368799972841136,-1.0003941518292736,-0.5283582769500755,282.3428333333333,0,0,282.3428333333333,0,0
22717,Angel Zerpa,MIL,RP,60,-0.020496741496162083,-0.03886201682833164,0.5597525377930717,0.12720844288931588,0.2215647253292544,-0.45600533800191023,0.08798415863402663,-0.38659908039208013,0.07924741340003921,0.5947892071765998,139.61983333333333,0.0011666666666666668,0.024166666666666666,139.61983333333333,0.0011666666666666668,0.024166666666666666
22915,Carlos Vargas,SEA,RP,56,-0.05268656601553075,-0.11951626907538321,0.36544847742196174,0.03980522350406196,-0.1416099151843706,-0.5369534673188943,-0.06171529502772732,-0.5323222683893755,-0.06934444498660712,0.42226831990875635,163.2475,0,0.005666666666666667,163.2475,0,0.005666666666666667
23150,Osvaldo Bido,NYY,RP,16,-1.1978999093808642,-1.1100048283733561,-1.7053080444747937,-1.1522907711769572,-1.5332180815872212,-0.8120868190548156,-1.2337916680978291,-1.8093415852288777,-1.2257791319315823,-0.6778250893479627,293.95183333333335,0,0,293.95183333333335,0,0
23165,Steven Cruz,KCR,RP,45,0.28874400820615487,0.06226481801692922,-0.2237852300804553,-0.23665365871377125,-0.21414972858281298,-0.3852886880322871,-0.09046458704186948,-0.5674082769308924,-0.09286271496881021,0.3903558729819006,167.81466666666665,1.6666666666666666e-4,0.0036666666666666666,167.81466666666665,1.6666666666666666e-4,0.0036666666666666666
23237,Juan Mejia,COL,RP,66,0.06283266266495599,-0.010661819323175944,0.8637292195183691,0.14057789535047588,0.781340435913882,0.44326096041576785,0.41171031863410384,-0.13752153518246324,0.3988932887587471,1.0002125514236666,93.6935,0.0265,0.17733333333333334,93.6935,0.0265,0.17733333333333334
23307,Collin Snider,CHC,RP,10,0.4036125064115007,0.26549619761713783,-2.0165408208444044,-1.1784794555768103,-1.7008481839954654,-0.7859419331473103,-0.833567396435117,-1.4496891196559814,-0.8125303096632936,-0.28872968570700913,265.94233333333335,0,0,265.94233333333335,0,0
23313,José Buttó,SFG,RP,61,0.23207487400810706,-0.0345428020451563,0.6144851687852926,0.12091085235724511,0.4112946473652036,-0.3892057589386579,0.1827558777858249,-0.2911210509321938,0.17201255161446538,0.6897808017247868,124.932,0.0016666666666666668,0.0405,124.932,0.0016666666666666668,0.0405
23363,Robert Garcia,TEX,RP,64,0.2707298907905181,0.3595388495746936,0.7691155502215881,0.2896046697992344,0.7546016430602046,0.8867471565382878,0.5848321935712956,0.01849943602192168,0.5757134083175852,1.1914234300698792,72.78783333333334,0.0735,0.3375,72.78783333333334,0.0735,0.3375
