playerid,PlayerName,role,Team,IP_atc,SO_mean,SO_p05,SO_p50,SO_p95,BB_mean,BB_p05,BB_p50,BB_p95,H_mean,H_p05,H_p50,H_p95,ER_mean,ER_p05,ER_p50,ER_p95,W_mean,W_p05,W_p50,W_p95,QS_mean,QS_p05,QS_p50,QS_p95,WHIP_mean,WHIP_p05,WHIP_p50,WHIP_p95,Ks_mean,Ks_p05,Ks_p50,Ks_p95,W_mean_t,W_p05_t,W_p50_t,W_p95_t,QS_mean_t,QS_p05_t,QS_p50_t,QS_p95_t,ERA_mean,ERA_p05,ERA_p50,ERA_p95,K9_mean,K9_p05,K9_p50,K9_p95,BB9_mean,BB9_p05,BB9_p50,BB9_p95
17611,Taylor Clarke,SP,ARI,56,0.8308146908379982,0.6072073616583991,0.825124624465351,1.0765682843162945,0.3502774683862144,0.20490367702065265,0.34437066511215353,0.5174141728053974,1.0239949343767358,0.7835500905946713,1.0206981770234633,1.2766507908897053,0.5274727795940729,0.34693215622386087,0.5217699057588352,0.7315019506110928,0.05185675165039888,0,0.04998933749676135,0.10868609834885909,0.05641176711042131,0,0.053220602029834446,0.11608799508695275,1.3742724027629503,1.0828540994630111,1.3701799570154178,1.6809879663196068,46.422,32,46,62,2.8981666666666666,0,3,6,3.1515,0,3,7,4.7472550163466565,3.1223894060147477,4.6959291518295165,6.583517555499835,7.477332217541984,5.4648662549255915,7.426121620188159,9.68911455884665,3.1524972154759294,1.844133093185874,3.0993359860093816,4.656727555248576
17677,Jeffrey Springs,SP,ATH,171,0.8123696631229098,0.6663396241983561,0.8084492674391418,0.9726311111446435,0.34527058354860873,0.25368042853912676,0.3422552483688917,0.44784759381891487,0.9916068389587724,0.8368656215335705,0.9894202036049345,1.156117847570437,0.49529930496368624,0.37217460498479726,0.49081074287738163,0.6308065458309972,0.055377245437410336,0.02627361849360229,0.05397918980312433,0.08893676019248144,0.06028687872966749,0.02830009848830122,0.058978699830431094,0.09755430151745319,1.3368774225073812,1.154558019682569,1.3334481990851026,1.531618185291006,139.06983333333332,106,138,175,9.475166666666667,4,9,15,10.323166666666667,5,10,17,4.457693744673176,3.3495714448631753,4.417296685896435,5.677258912478974,7.311326968106188,5.997056617785205,7.276043406952276,8.753680000301792,3.1074352519374786,2.283123856852141,3.0802972353200255,4.030628344370234
17735,Tyler Alexander,SP,TEX,69,0.7156995301609029,0.5285853244710658,0.7120226479522291,0.9220919945977498,0.277324163150588,0.15975431148806338,0.2726965977433349,0.410076523196116,1.1373334138858964,0.9063129044775363,1.1335560087863725,1.3816733107639716,0.5761879875290499,0.40187642831058945,0.5728029041529237,0.7711272189723808,0.048526398946251194,0.013093412273137062,0.04532574078388794,0.09647476381745,0.05507644157115114,0.01374627858522649,0.053153414257389224,0.108572691519935,1.4146575770364844,1.1537625355352084,1.4095168847768047,1.695747249674353,49.2325,35,49,66,3.3413333333333335,1,3,7,3.7931666666666666,1,4,7,5.185691887761449,3.616887854795305,5.155226137376313,6.940144970751427,6.441295771448126,4.757267920239592,6.408203831570062,8.298827951379748,2.495917468355292,1.4377888033925703,2.4542693796900137,3.6906887087650437
17948,Trent Thornton,SP,CHC,30,0.9414104225787574,0.6376785478727138,0.9333419954001381,1.277113041652755,0.37160245565856825,0.185860871475964,0.36309356950477956,0.5800015297338951,0.9605304564906431,0.6680292448346844,0.9529666516526397,1.2803588011344005,0.497009334003568,0.2755164459124989,0.49088583081568626,0.7397997907240021,0.05365987887434866,0,0.038873637905104806,0.13323060895740907,0.058739339011963876,0,0.05798313041709005,0.14162771125079415,1.3321329121492114,0.9765836058266382,1.3209376005128457,1.7201579549216262,28.243166666666667,18,28,40,1.6101666666666667,0,1,4,1.766,0,2,4,4.473084006032112,2.4796480132124903,4.417972477341176,6.65819811651602,8.472693803208816,5.739106930854424,8.400077958601242,11.494017374874794,3.3444221009271144,1.672747843283676,3.267842125543016,5.220013767605056
17964,Tyler Gilbert,SP,CHW,26,0.7314286698986374,0.44491244942632463,0.7225924637668608,1.0488530498767483,0.3709965763193411,0.1691826019000883,0.3608265883010322,0.6055618356723083,1.071762031093359,0.7256366870907538,1.0658877369735769,1.4513630292707347,0.5583821392013275,0.30757482422344373,0.5495353877585462,0.8529877788551751,0.049814476027776326,0,0.04011201953078623,0.13025267751883235,0.052026327763917295,0,0.04055289462349279,0.1371736837034432,1.4427586074127001,1.0209139969960317,1.4349929077577632,1.8854467840525342,19.059333333333335,11,19,28,1.2971666666666666,0,1,3,1.3541666666666667,0,1,4,5.025439252811948,2.768173418010994,4.945818489826915,7.676890009696575,6.5828580290877365,4.004212044836922,6.503332173901748,9.439677448890734,3.3389691868740696,1.5226434171007948,3.24743929470929,5.450056521050774
17968,Brock Burke,SP,CIN,62,0.7316336439441837,0.5042021240424257,0.7252513801722968,0.9806378793750948,0.39561440843041157,0.2326984973182936,0.38835618206466893,0.5859334745129063,1.1142955579109917,0.8530133845323457,1.1080791776123253,1.3966762962508341,0.6142346001334196,0.4079887639773939,0.6038899321606102,0.8505499409969466,0.045314213555712704,0,0.043967800769019884,0.09458365779057595,0.04785995231678835,0,0.0457935900161513,0.10111588408673405,1.5099099663414033,1.1904449553657939,1.5033268623069889,1.8490904907590227,45.419666666666664,30,45,63,2.812,0,3,6,2.978,0,3,6,5.528111401200777,3.671898875796545,5.435009389445492,7.65494946897252,6.584702795497654,4.537819116381831,6.527262421550672,8.825740914375853,3.560529675873704,2.0942864758646422,3.4952056385820205,5.273401270616157
17995,Logan Webb,SP,SFG,202,0.923792428503681,0.7860825418335871,0.9221500440306251,1.0704029942005946,0.18495365810801445,0.12903647336624402,0.18336541627741237,0.24606590655999433,0.925547424496949,0.7956824941250266,0.9237801445958894,1.0604209322577347,0.3736987567933874,0.2839207227417414,0.3715536343028222,0.46847937062412237,0.06971635572731076,0.039861211211637354,0.06873045765025745,0.10300696438756507,0.1044147327242636,0.06482626135004356,0.10326768014665093,0.14892256577082963,1.1105010826049635,0.9681490870536259,1.1095088185704702,1.2572249880554767,186.69916666666666,146,185,230,14.084666666666667,8,14,21,21.113166666666668,12.949999999999989,21,31,3.363288811140486,2.5552865046756725,3.3439827087253997,4.216314335617101,8.314131856533129,7.074742876502284,8.299350396275626,9.633626947805352,1.66458292297213,1.1613282602961963,1.6502887464967113,2.214593159039949
18383,Michael Soroka,SP,ARI,96,0.8750511310048769,0.6844082095388622,0.8713407965922069,1.0810915290586602,0.388340810607853,0.26008524664181604,0.38347587816473616,0.5288381378062367,1.0089300180485568,0.8143445185417749,1.0062058522200596,1.2126340590815554,0.5330836476969097,0.381932780795744,0.5287443259368408,0.6961461472940891,0.051524598172306334,0.017678066755653286,0.04963093913876049,0.09464294658329939,0.05503193038101551,0.019051332463593147,0.052919951602890994,0.10087654074458155,1.3972708286564097,1.1575468866363963,1.3920231548542155,1.6463522865148033,84.11466666666666,62,83.5,108,4.953833333333334,2,5,9,5.290666666666667,2,5,10,4.797752829272188,3.437395027161696,4.7586989334315675,6.265315325646801,7.875460179043892,6.1596738858497595,7.842067169329862,9.729823761527943,3.4950672954706774,2.3407672197763443,3.4512829034826256,4.75954324025613
18525,Dylan Cease,SP,TOR,183,1.2038489964051966,1.035115783409438,1.2010388263410183,1.3833288541719662,0.37968800885590037,0.2886773971799422,0.37802860264009636,0.47684240477840034,0.854800204902084,0.7268237599982521,0.8519440602043293,0.9925527301073838,0.4344446143948133,0.3306385365020459,0.4331670224129799,0.5442094399754789,0.06060631040419521,0.031597963002596985,0.0593745764112925,0.09365042186757094,0.0694828012158315,0.036507861580098354,0.0679675220563562,0.10768372015015791,1.2344882137579842,1.0771985512050581,1.2323791245541627,1.3990412091724413,220.20666666666668,174,218,272,11.081166666666666,6,11,17,12.710333333333333,7,12,20,3.9100015295533197,2.975746828518413,3.898503201716819,4.89788495977931,10.83464096764677,9.316042050684942,10.809349437069166,12.449959687547695,3.4171920797031032,2.5980965746194795,3.4022574237608674,4.291581643005603
18679,Freddy Peralta,SP,NYM,162,1.1002627066111579,0.9359407840375406,1.0993628874729713,1.27442155864242,0.3484290375854467,0.2602834487530032,0.3464590565061253,0.44251932116107395,0.832313644212781,0.7001880383540687,0.8296858163904959,0.9736362804842223,0.3923940562472244,0.2939886386018492,0.3902867549072139,0.49898005267305073,0.06654562529606162,0.033537425367155566,0.06527411073205122,0.10267908839847144,0.07516362713970756,0.039274274485003396,0.0736696974120528,0.11514699419228025,1.1807426817982276,1.0188768182892318,1.1796490605438203,1.3475277257530516,177.92516666666666,140,177,219,10.768666666666666,5,11,17,12.1645,6,12,19,3.5315465062250198,2.645897747416643,3.5125807941649247,4.490820474057457,9.902364359500421,8.423467056337865,9.894265987256741,11.469794027781779,3.13586133826902,2.3425510387770285,3.1181315085551278,3.9826738904496657
